VOIDTK void
IDENFR print
LPARENT (
INTTK int
IDENFR num
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "the param is %d\n"
COMMA ,
IDENFR num
RPARENT )
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
IDENFR return10
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
INTCON 10
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "20231235\n"
RPARENT )
SEMICN ;
INTTK int
IDENFR first
SEMICN ;
IDENFR first
ASSIGN =
INTCON 3
SEMICN ;
LBRACE {
INTTK int
IDENFR first
ASSIGN =
INTCON 4
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "local first: %d\n"
COMMA ,
IDENFR first
RPARENT )
SEMICN ;
RBRACE }
INTTK int
IDENFR second
ASSIGN =
IDENFR return10
LPARENT (
RPARENT )
SEMICN ;
WHILETK while
LPARENT (
IDENFR first
LSS <
INTCON 100
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR first
GRE >
IDENFR second
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
IDENFR first
ASSIGN =
IDENFR first
PLUS +
INTCON 1
SEMICN ;
IDENFR print
LPARENT (
IDENFR first
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR first
MOD %
INTCON 2
EQL ==
INTCON 0
RPARENT )
LBRACE {
CONTINUETK continue
SEMICN ;
RBRACE }
RBRACE }
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
