CONSTTK const
INTTK int
IDENFR a0
ASSIGN =
INTCON 0
SEMICN ;
VOIDTK void
IDENFR f
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
SEMICN ;
RBRACE }
VOIDTK void
IDENFR ff
LPARENT (
INTTK int
IDENFR a
COMMA ,
INTTK int
IDENFR b
COMMA ,
INTTK int
IDENFR c
RPARENT )
LBRACE {
IDENFR c
ASSIGN =
IDENFR c
PLUS +
INTCON 1
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
IDENFR fd
LPARENT (
INTTK int
IDENFR a
RPARENT )
LBRACE {
RETURNTK return
IDENFR a
SEMICN ;
RBRACE }
INTTK int
IDENFR fk
LPARENT (
INTTK int
IDENFR a
COMMA ,
INTTK int
IDENFR b
LBRACK [
RBRACK ]
COMMA ,
INTTK int
IDENFR c
LBRACK [
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
RPARENT )
LBRACE {
RETURNTK return
INTCON 1
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "21371064"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "heihei%d\n"
COMMA ,
IDENFR a0
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
INTCON 8
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "AC\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "WA\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "TLE\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "RE\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "PE\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "AK!!\n"
RPARENT )
SEMICN ;
INTTK int
IDENFR a1
ASSIGN =
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR a0
LSS <
IDENFR a1
RPARENT )
IDENFR a1
ASSIGN =
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR a0
GRE >
IDENFR a1
RPARENT )
IDENFR a1
ASSIGN =
INTCON 1
SEMICN ;
ELSETK else
IDENFR a1
ASSIGN =
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR a0
EQL ==
IDENFR a1
RPARENT )
IDENFR a1
ASSIGN =
INTCON 3
MULT *
INTCON 4
SEMICN ;
IFTK if
LPARENT (
NOT !
IDENFR a1
RPARENT )
IDENFR a1
ASSIGN =
INTCON 3
MINU -
INTCON 4
PLUS +
INTCON 5
SEMICN ;
IFTK if
LPARENT (
IDENFR a0
GEQ >=
IDENFR a1
RPARENT )
IDENFR a1
ASSIGN =
INTCON 9
SEMICN ;
IFTK if
LPARENT (
IDENFR a0
LEQ <=
IDENFR a1
RPARENT )
IDENFR a1
ASSIGN =
INTCON 10
SEMICN ;
WHILETK while
LPARENT (
IDENFR a0
GEQ >=
