CONSTTK const
INTTK int
IDENFR MAX
ASSIGN =
INTCON 100010
SEMICN ;
INTTK int
IDENFR p
LBRACK [
INTCON 100010
RBRACK ]
SEMICN ;
INTTK int
IDENFR judge_prime
LPARENT (
INTTK int
IDENFR num
COMMA ,
INTTK int
IDENFR prime_count
RPARENT )
LBRACE {
INTTK int
IDENFR i
ASSIGN =
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR num
NEQ !=
INTCON 2
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR num
MOD %
INTCON 2
EQL ==
INTCON 0
RPARENT )
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
WHILETK while
LPARENT (
IDENFR i
LSS <
IDENFR prime_count
RPARENT )
LBRACE {
IFTK if
LPARENT (
LPARENT (
IDENFR p
LBRACK [
IDENFR i
RBRACK ]
MULT *
IDENFR p
LBRACK [
IDENFR i
RBRACK ]
RPARENT )
GRE >
IDENFR num
RPARENT )
BREAKTK break
SEMICN ;
IFTK if
LPARENT (
IDENFR num
MOD %
IDENFR p
LBRACK [
IDENFR i
RBRACK ]
NEQ !=
INTCON 0
RPARENT )
LBRACE {
IDENFR i
ASSIGN =
LPARENT (
IDENFR i
PLUS +
INTCON 2
RPARENT )
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
RBRACE }
RETURNTK return
INTCON 1
SEMICN ;
RBRACE }
INTTK int
IDENFR cal_prime
LPARENT (
INTTK int
IDENFR m
RPARENT )
LBRACE {
INTTK int
IDENFR prime_count
ASSIGN =
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR m
LSS <
INTCON 2
RPARENT )
RETURNTK return
INTCON 0
SEMICN ;
IFTK if
LPARENT (
IDENFR m
EQL ==
INTCON 2
RPARENT )
RETURNTK return
IDENFR prime_count
SEMICN ;
ELSETK else
LBRACE {
INTTK int
IDENFR potential_prime
ASSIGN =
PLUS +
INTCON 3
SEMICN ;
WHILETK while
LPARENT (
IDENFR potential_prime
LEQ <=
IDENFR m
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR judge_prime
LPARENT (
IDENFR potential_prime
COMMA ,
IDENFR prime_count
RPARENT )
RPARENT )
LBRACE {
IDENFR p
LBRACK [
IDENFR prime_count
RBRACK ]
ASSIGN =
IDENFR potential_prime
SEMICN ;
IDENFR prime_count
ASSIGN =
IDENFR prime_count
PLUS +
INTCON 1
SEMICN ;
RBRACE }
IDENFR potential_prime
ASSIGN =
IDENFR potential_prime
PLUS +
INTCON 2
SEMICN ;
IFTK if
LPARENT (
IDENFR prime_count
GRE >
IDENFR MAX
RPARENT )
LBRACE {
PRINTFTK printf
